instance,n,u,procs,elapsed
n_023_u_459_12,23,4.6,11,5.81999999999971
n_022_u_440_12,22,4.4,12,6.26300000000083
n_009_u_180_9,9,1.8,5,1.6239999999998
n_038_u_760_11,38,7.6,17,13.6669999999995
n_005_u_100_15,5,1,3,0.550999999999476
n_005_u_100_12,5,1,3,0.725000000000364
n_020_u_400_13,20,4,13,5.02900000000045
n_043_u_860_7,43,8.6,19,21.1820000000007
n_005_u_100_13,5,1,3,0.834000000000742
n_034_u_680_10,34,6.8,16,13.7950000000001
n_016_u_320_11,16,3.2,9,3.55299999999988
n_029_u_580_11,29,5.8,16,9.04199999999946
n_033_u_660_11,33,6.6,16,12.3419999999987
n_017_u_340_11,17,3.4,8,3.31700000000092
n_022_u_440_11,22,4.4,10,6.71899999999914
n_010_u_200_9,10,2,5,1.56899999999951
n_015_u_300_10,15,3,8,3.30500000000029
n_032_u_640_13,32,6.4,16,11.6850000000013
n_043_u_860_6,43,8.6,20,24.4380000000001
n_035_u_700_10,35,7,17,16.9229999999989
n_038_u_760_12,38,7.6,19,19.1509999999998
n_018_u_360_16,18,3.6,8,3.68900000000031
n_041_u_819_10,41,8.2,19,16.0850000000009
n_034_u_680_12,34,6.8,16,11.7699999999986
n_046_u_920_10,46,9.2,20,20.3680000000004
n_005_u_100_14,5,1,3,1.32200000000012
n_045_u_900_10,45,9,20,22.6890000000003
n_018_u_360_14,18,3.6,11,3.89499999999862
n_010_u_200_8,10,2,5,1.878999999999
n_018_u_360_13,18,3.6,9,4.66200000000026
n_008_u_160_12,8,1.6,4,1.05099999999948
n_032_u_640_14,32,6.4,16,10.3189999999995
n_030_u_600_11,30,6,14,10.4520000000011
n_022_u_440_10,22,4.4,11,6.56800000000112
n_012_u_240_12,12,2.4,7,2.02299999999923
n_013_u_260_12,13,2.6,9,2.21500000000015
n_044_u_880_11,44,8.8,21,19.098
n_044_u_880_12,44,8.8,22,21.4220000000005
n_030_u_600_10,30,6,14,12.2970000000005
n_018_u_360_15,18,3.6,9,3.90599999999904
n_023_u_459_10,23,4.6,11,6.35000000000036
n_042_u_840_10,42,8.4,20,16.509
n_011_u_220_14,11,2.2,6,1.72600000000057
n_034_u_680_11,34,6.8,16,12.7989999999991
n_011_u_220_13,11,2.2,8,2.04999999999927
n_036_u_720_12,36,7.2,16,13.7829999999994
n_039_u_780_11,39,7.8,18,19.7839999999997
n_043_u_860_10,43,8.6,20,20.0460000000003
n_039_u_780_12,39,7.8,21,17.6880000000001
n_040_u_800_13,40,8,18,15.9320000000007
n_009_u_180_12,9,1.8,5,1.15299999999843
n_006_u_120_13,6,1.2,3,0.765999999999622
n_046_u_920_11,46,9.2,22,22.0369999999984
n_032_u_640_11,32,6.4,18,13.2610000000004
n_006_u_120_14,6,1.2,4,0.614999999999782
n_021_u_420_13,21,4.2,11,5.38700000000063
n_034_u_680_13,34,6.8,17,12.7459999999992
n_047_u_940_10,47,9.4,24,21.9130000000005
n_007_u_140_15,7,1.4,4,1.06100000000151
n_010_u_200_12,10,2,5,1.33100000000013
n_039_u_780_13,39,7.8,18,18.5949999999993
