instance,n,u,procs,elapsed
n_041_u_819_13,41,8.2,13,371.161
n_035_u_700_13,35,7,10,245.878
n_039_u_780_12,39,7.8,13,360.377
n_007_u_140_15,7,1.4,3,19.2950000000001
n_031_u_620_17,31,6.2,10,206.905
n_006_u_120_14,6,1.2,3,13.1199999999999
n_046_u_920_11,46,9.2,14,480.594
n_008_u_160_15,8,1.6,3,29.0819999999999
n_020_u_400_14,20,4,7,82.675
n_036_u_720_11,36,7.2,10,221.611
n_032_u_640_15,32,6.4,10,222.609
n_012_u_240_15,12,2.4,5,46.5769999999998
n_024_u_480_15,24,4.8,7,144.842
n_031_u_620_16,31,6.2,10,184.169
n_024_u_480_17,24,4.8,8,109.461
n_032_u_640_14,32,6.4,10,238.47
n_045_u_900_14,45,9,14,398.298
n_026_u_520_13,26,5.2,8,133.151
n_036_u_720_13,36,7.2,11,277.499
n_013_u_260_13,13,2.6,5,43.2109999999998
n_015_u_300_12,15,3,5,78.0440000000001
n_025_u_500_15,25,5,8,181.48
n_012_u_240_16,12,2.4,4,33.9069999999997
n_041_u_819_12,41,8.2,12,372.288
n_024_u_480_16,24,4.8,7,112.654
n_042_u_840_13,42,8.4,13,381.744
n_017_u_340_13,17,3.4,6,95.3130000000001
n_019_u_380_15,19,3.8,7,73.4030000000002
n_025_u_500_13,25,5,8,146.708
n_037_u_740_15,37,7.4,13,288.941
n_030_u_600_12,30,6,10,197.625
n_020_u_400_16,20,4,6,92.4389999999999
n_043_u_860_11,43,8.6,13,365.304
n_009_u_180_15,9,1.8,4,23.3229999999999
n_008_u_160_14,8,1.6,4,26.7860000000001
n_027_u_540_13,27,5.4,9,151.734
n_040_u_800_12,40,8,12,361.155
n_050_u_1000_12,50,10,16,553.915
n_023_u_459_13,23,4.6,8,151.788
n_025_u_500_14,25,5,8,135.062
n_021_u_420_16,21,4.2,7,108.9
n_050_u_1000_13,50,10,16,541.582
n_048_u_960_11,48,9.6,14,393.015
n_007_u_140_14,7,1.4,4,22.1900000000001
n_010_u_200_13,10,2,4,40.71
n_046_u_920_13,46,9.2,14,440.67
n_025_u_500_16,25,5,9,127.495
n_029_u_580_13,29,5.8,10,200.411
n_042_u_840_12,42,8.4,13,361.396
n_015_u_300_13,15,3,5,50.779
n_033_u_660_14,33,6.6,11,229.49
n_032_u_640_17,32,6.4,10,228.563
n_017_u_340_14,17,3.4,7,76.8399999999997
n_042_u_840_11,42,8.4,15,432.51
n_026_u_520_14,26,5.2,8,137.82
n_047_u_940_13,47,9.4,17,401.113
n_013_u_260_15,13,2.6,4,54.2850000000003
